date,days_elapsed,Uw,ip,Tair,Twater,amc,ET,Hw,Tw,t,site_plot,Zs,A,dHw,Vw,dt,Qip,QET,dVw,Qg,Qnet,QHRT,Qout,Qin,Q_net_check,Q_check
2020-05-25,510,5.81152,0,21.11111111111111,19.38888888888889,1,0.7475305980519709,0,15.902597668730182,369,OCSP.2,75.18614762,1,0,0,1,0,0.007475305980519709,0,0,0.007475305980519709,0,-0,0.007475305980519709,0,0
2020-05-26,511,3.442208,0,26.11111111111111,23.38888888888889,1,0.741626422668178,0,20.78944793453923,370,OCSP.2,75.18614762,1,0,0,1,0,0.00741626422668178,0,0,0.00741626422668178,0,-0,0.00741626422668178,0,0
2020-05-27,512,4.783328,0,28.88888888888889,25.611111111111114,1,1.0098527302870934,0,22.569864016992074,371,OCSP.2,75.18614762,1,0,0,1,0,0.010098527302870934,0,0,0.010098527302870934,0,-0,0.010098527302870934,0,0
2020-05-28,513,6.25856,0,26.666666666666664,23.833333333333332,1,1.1434924485047593,0,21.732417771845686,372,OCSP.2,75.18614762,1,0,0,1,0,0.011434924485047593,0,0,0.011434924485047593,0,-0,0.011434924485047593,0,0
2020-05-29,514,5.856224,2.4892,25,22.5,1,1.0058725729891644,0,22.562821117448216,373,OCSP.2,75.18614762,1,0,0,1,0.024891999999999997,0.010058725729891645,0,0,-0.014833274270108353,0,-0.014833274270108353,0,0,-0.029666548540216706
2020-05-30,515,4.4704,0.1524,17.77777777777778,16.72222222222222,1,1.222084251252393,0,19.124383440724124,374,OCSP.2,75.18614762,1,0,0,1,0.0015240000000000002,0.01222084251252393,0,0,0.010696842512523931,0,-0,0.010696842512523931,0,-1.734723475976807e-18
2020-05-31,516,4.872736,0.025400000000000002,10,10.5,1,0.9620297058847177,0,10.798332897233374,375,OCSP.2,75.18614762,1,0,0,1,2.5400000000000005e-4,0.009620297058847177,0,0,0.009366297058847176,0,-0,0.009366297058847176,0,0
2020-06-01,517,2.101088,0.025400000000000002,10,10.5,1,0.7081607549034965,0,10.049920435304994,376,OCSP.2,75.18614762,1,0,0,1,2.5400000000000005e-4,0.007081607549034965,0,0,0.006827607549034965,0,-0,0.006827607549034965,0,0
2020-06-02,518,2.414016,0.0635,12.777777777777777,12.722222222222221,1,0.653086864785604,0,11.891766242039056,377,OCSP.2,75.18614762,1,0,0,1,6.35e-4,0.006530868647856039,0,0,0.005895868647856039,0,-0,0.005895868647856039,0,0
2020-06-03,519,1.385824,0.10160000000000001,15,14.5,1,0.7145226970338964,0,15.884368434364413,378,OCSP.2,75.18614762,1,0,0,1,0.0010160000000000002,0.007145226970338964,0,0,0.0061292269703389635,0,-0,0.0061292269703389635,0,0
